Loaded model from: checkpoints\lr1e-4_ent0.01\lr1e-4_ent0.01_final.pt
[subdiv=2] Ep    31 | Opp self_play | Ret   66.20 | AvgRet   66.43 | WinRate 0.581 | Loss 8.0474 | VLoss 15.8891 | Ent 3.4888 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    32 | Opp self_play | Ret   52.70 | AvgRet   66.00 | WinRate 0.562 | Loss 4.2534 | VLoss 8.3669 | Ent 3.4002 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    33 | Opp vs_random | Ret   80.30 | AvgRet   66.43 | WinRate 0.545 | Loss 6.1131 | VLoss 11.4820 | Ent 3.0653 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    34 | Opp self_play | Ret   72.90 | AvgRet   66.62 | WinRate 0.529 | Loss 13.1358 | VLoss 24.9685 | Ent 3.2274 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    35 | Opp vs_random | Ret   65.80 | AvgRet   66.60 | WinRate 0.514 | Loss 2.6462 | VLoss 5.5952 | Ent 3.4461 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    36 | Opp self_play | Ret   46.50 | AvgRet   66.04 | WinRate 0.500 | Loss 10.9099 | VLoss 22.5360 | Ent 3.7454 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    37 | Opp self_play | Ret   63.30 | AvgRet   65.96 | WinRate 0.514 | Loss 4.7368 | VLoss 9.1828 | Ent 3.2681 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    38 | Opp vs_random | Ret   58.20 | AvgRet   65.76 | WinRate 0.500 | Loss 1.5822 | VLoss 2.6570 | Ent 3.4723 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    39 | Opp self_play | Ret   32.30 | AvgRet   64.90 | WinRate 0.513 | Loss 9.4759 | VLoss 19.3213 | Ent 3.6220 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    40 | Opp vs_random | Ret   64.80 | AvgRet   64.90 | WinRate 0.500 | Loss 20.2230 | VLoss 40.5135 | Ent 3.2664 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    41 | Opp self_play | Ret   52.80 | AvgRet   64.60 | WinRate 0.512 | Loss 10.7476 | VLoss 21.4786 | Ent 3.3287 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    42 | Opp vs_random | Ret   70.00 | AvgRet   64.73 | WinRate 0.524 | Loss 7.0854 | VLoss 14.4066 | Ent 3.4250 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    43 | Opp vs_random | Ret   56.60 | AvgRet   64.54 | WinRate 0.512 | Loss 7.2242 | VLoss 14.4496 | Ent 3.3563 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    44 | Opp vs_random | Ret   75.00 | AvgRet   64.78 | WinRate 0.523 | Loss 3.8355 | VLoss 7.1793 | Ent 3.4066 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    45 | Opp vs_random | Ret   63.20 | AvgRet   64.75 | WinRate 0.533 | Loss 2.5350 | VLoss 4.2340 | Ent 3.3748 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    46 | Opp vs_random | Ret   67.90 | AvgRet   64.82 | WinRate 0.543 | Loss 4.5285 | VLoss 8.4271 | Ent 3.5297 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    47 | Opp vs_random | Ret   63.60 | AvgRet   64.79 | WinRate 0.532 | Loss 6.3873 | VLoss 13.1701 | Ent 3.3761 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    48 | Opp vs_random | Ret  -17.30 | AvgRet   63.08 | WinRate 0.521 | Loss 9.3233 | VLoss 19.1999 | Ent 3.6763 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    49 | Opp vs_random | Ret   70.80 | AvgRet   63.24 | WinRate 0.510 | Loss 2.6198 | VLoss 4.3261 | Ent 3.1366 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    50 | Opp self_play | Ret   66.00 | AvgRet   63.29 | WinRate 0.520 | Loss 5.3224 | VLoss 10.4925 | Ent 3.1057 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    51 | Opp vs_random | Ret   22.30 | AvgRet   62.52 | WinRate 0.529 | Loss 17.7347 | VLoss 35.8174 | Ent 3.7278 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    52 | Opp vs_random | Ret   70.40 | AvgRet   62.42 | WinRate 0.538 | Loss 5.1224 | VLoss 9.6322 | Ent 3.4481 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    53 | Opp vs_random | Ret   55.90 | AvgRet   62.93 | WinRate 0.528 | Loss 17.8840 | VLoss 34.9374 | Ent 3.2547 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    54 | Opp vs_random | Ret   68.40 | AvgRet   62.61 | WinRate 0.519 | Loss 2.5868 | VLoss 4.8428 | Ent 3.1130 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    55 | Opp vs_random | Ret   63.00 | AvgRet   63.76 | WinRate 0.509 | Loss 11.0509 | VLoss 22.8960 | Ent 3.6609 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    56 | Opp vs_random | Ret   82.20 | AvgRet   63.94 | WinRate 0.500 | Loss 0.6881 | VLoss 1.7808 | Ent 2.7660 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    57 | Opp vs_random | Ret   71.20 | AvgRet   64.16 | WinRate 0.491 | Loss 11.4774 | VLoss 23.1055 | Ent 3.2735 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    58 | Opp vs_random | Ret   77.70 | AvgRet   64.33 | WinRate 0.500 | Loss 12.9685 | VLoss 25.4379 | Ent 3.3917 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    59 | Opp self_play | Ret   69.60 | AvgRet   64.36 | WinRate 0.492 | Loss 7.6248 | VLoss 14.4361 | Ent 3.4673 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    60 | Opp vs_random | Ret   46.50 | AvgRet   64.07 | WinRate 0.500 | Loss 10.0996 | VLoss 20.0157 | Ent 3.6764 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    61 | Opp vs_random | Ret   64.20 | AvgRet   63.88 | WinRate 0.492 | Loss 10.2781 | VLoss 19.9469 | Ent 2.7907 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    62 | Opp self_play | Ret  -13.60 | AvgRet   62.82 | WinRate 0.500 | Loss 15.8513 | VLoss 32.1935 | Ent 3.7316 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    63 | Opp vs_random | Ret   80.90 | AvgRet   62.81 | WinRate 0.508 | Loss 35.1337 | VLoss 69.3540 | Ent 3.4126 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    64 | Opp vs_random | Ret   17.50 | AvgRet   61.42 | WinRate 0.500 | Loss 13.5558 | VLoss 27.8818 | Ent 3.8000 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    65 | Opp self_play | Ret   66.40 | AvgRet   61.32 | WinRate 0.508 | Loss 7.5472 | VLoss 15.6073 | Ent 3.2146 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    66 | Opp self_play | Ret   42.50 | AvgRet   61.45 | WinRate 0.515 | Loss 14.2567 | VLoss 29.2822 | Ent 3.7827 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    67 | Opp vs_random | Ret   76.50 | AvgRet   61.19 | WinRate 0.522 | Loss 8.1049 | VLoss 15.7477 | Ent 3.4088 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    68 | Opp vs_random | Ret   66.70 | AvgRet   61.18 | WinRate 0.515 | Loss 11.9869 | VLoss 24.8132 | Ent 3.6247 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    69 | Opp vs_random | Ret   51.40 | AvgRet   60.62 | WinRate 0.507 | Loss 1.6865 | VLoss 2.8668 | Ent 3.4765 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    70 | Opp vs_random | Ret   66.80 | AvgRet   60.30 | WinRate 0.514 | Loss 6.5815 | VLoss 13.7730 | Ent 3.4023 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    71 | Opp self_play | Ret   43.70 | AvgRet   59.46 | WinRate 0.507 | Loss 5.6045 | VLoss 11.0588 | Ent 3.3993 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    72 | Opp self_play | Ret   94.40 | AvgRet   60.10 | WinRate 0.500 | Loss 52.3204 | VLoss 105.3442 | Ent 3.1593 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    73 | Opp self_play | Ret   64.90 | AvgRet   59.99 | WinRate 0.493 | Loss 8.0984 | VLoss 16.5287 | Ent 3.4992 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    74 | Opp vs_random | Ret   70.40 | AvgRet   59.79 | WinRate 0.486 | Loss 8.5147 | VLoss 16.4246 | Ent 2.6101 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    75 | Opp vs_random | Ret   68.60 | AvgRet   60.14 | WinRate 0.493 | Loss 20.9645 | VLoss 41.4441 | Ent 3.5109 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    76 | Opp vs_random | Ret   43.40 | AvgRet   59.67 | WinRate 0.487 | Loss 11.5071 | VLoss 23.6154 | Ent 3.4659 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    77 | Opp vs_random | Ret   47.80 | AvgRet   59.04 | WinRate 0.481 | Loss 11.4116 | VLoss 23.1767 | Ent 3.5502 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    78 | Opp vs_random | Ret   49.60 | AvgRet   58.71 | WinRate 0.474 | Loss 1.9847 | VLoss 4.7174 | Ent 3.5061 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    79 | Opp vs_random | Ret   30.60 | AvgRet   58.05 | WinRate 0.481 | Loss 4.6188 | VLoss 9.2324 | Ent 3.6518 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    80 | Opp vs_random | Ret   86.50 | AvgRet   58.36 | WinRate 0.475 | Loss 8.9714 | VLoss 17.4958 | Ent 3.1952 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    81 | Opp vs_random | Ret   45.80 | AvgRet   57.95 | WinRate 0.481 | Loss 7.8677 | VLoss 15.4549 | Ent 3.7092 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    82 | Opp vs_random | Ret   49.50 | AvgRet   57.89 | WinRate 0.488 | Loss 5.5235 | VLoss 11.3591 | Ent 3.7768 | EntCoef 0.00000 | Winner: 0
[subdiv=2] Ep    83 | Opp vs_random | Ret   75.90 | AvgRet   57.80 | WinRate 0.482 | Loss 1.3275 | VLoss 2.2366 | Ent 2.6671 | EntCoef 0.00000 | Winner: 1
[subdiv=2] Ep    84 | Opp vs_random | Ret   74.50 | AvgRet   57.83 | WinRate 0.488 | Loss 9.1082 | VLoss 18.1090 | Ent 3.6009 | EntCoef 0.00000 | Winner: 0
